Generation,Sequence,Fitness,Score,World,Stage,X Position
19,12,3658.0,300,1,1,723
19,13,2970.0,0,1,1,594
19,14,3653.0,300,1,1,722
19,15,3658.0,300,1,1,723
19,16,3621.0,100,1,1,722
19,17,3002.0,200,1,1,594
19,18,3658.0,300,1,1,723
19,19,200.0,0,1,1,40
19,20,3658.0,300,1,1,723
19,21,3007.0,200,1,1,595
19,22,3002.0,200,1,1,594
19,23,3653.0,300,1,1,722
19,24,3632.0,200,1,1,722
19,25,3653.0,300,1,1,722
19,26,3653.0,300,1,1,722
19,27,2981.0,100,1,1,594
19,28,3653.0,300,1,1,722
19,29,3653.0,300,1,1,722
19,30,3621.0,100,1,1,722
19,31,3642.0,200,1,1,722
19,32,2975.0,0,1,1,595
19,33,3653.0,300,1,1,722
19,34,200.0,0,1,1,40
19,35,3007.0,200,1,1,595
19,36,3002.0,200,1,1,594
19,37,3007.0,200,1,1,595
19,38,3653.0,300,1,1,722
19,39,3002.0,200,1,1,594
19,40,3653.0,300,1,1,722
20,1,3002.0,200,1,1,594
20,2,3653.0,300,1,1,722
20,3,3002.0,200,1,1,594
20,4,3002.0,200,1,1,594
20,5,232.0,200,1,1,40
20,6,3615.0,0,1,1,723
20,7,3002.0,200,1,1,594
20,8,3653.0,300,1,1,722
20,9,2970.0,0,1,1,594
20,10,2975.0,0,1,1,595
20,11,3658.0,300,1,1,723
20,12,3007.0,200,1,1,595
20,13,3626.0,100,1,1,723
20,14,3621.0,100,1,1,722
20,15,232.0,200,1,1,40
20,16,3658.0,300,1,1,723
20,17,3002.0,200,1,1,594
20,18,3653.0,300,1,1,722
20,19,3002.0,200,1,1,594
20,20,3658.0,300,1,1,723
20,21,3653.0,300,1,1,722
20,22,3653.0,300,1,1,722
20,23,3653.0,300,1,1,722
20,24,3002.0,200,1,1,594
20,25,3642.0,200,1,1,722
20,26,3653.0,300,1,1,722
20,27,3653.0,300,1,1,722
20,28,3653.0,300,1,1,722
20,29,211.0,100,1,1,40
20,30,3658.0,300,1,1,723
20,31,3610.0,0,1,1,722
20,32,232.0,200,1,1,40
20,33,3653.0,300,1,1,722
20,34,3658.0,300,1,1,723
20,35,3653.0,300,1,1,722
20,36,3658.0,300,1,1,723
20,37,3002.0,200,1,1,594
20,38,232.0,200,1,1,40
20,39,3653.0,300,1,1,722
20,40,3642.0,200,1,1,722
21,1,3653.0,300,1,1,722
21,2,200.0,0,1,1,40
21,3,3658.0,300,1,1,723
21,4,3626.0,100,1,1,723
21,5,3632.0,200,1,1,722
21,6,3002.0,200,1,1,594
21,7,3653.0,300,1,1,722
21,8,3653.0,300,1,1,722
21,9,3653.0,300,1,1,722
21,10,3653.0,300,1,1,722
21,11,3653.0,300,1,1,722
21,12,3653.0,300,1,1,722
21,13,2981.0,100,1,1,594
21,14,3002.0,200,1,1,594
21,15,3658.0,300,1,1,723
21,16,3653.0,300,1,1,722
21,17,3653.0,300,1,1,722
21,18,3653.0,300,1,1,722
21,19,3002.0,200,1,1,594
21,20,232.0,200,1,1,40
